repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
DigitalPlatDev/FreeDomain,192602,2024-05-30T13:23:00Z,2.2,0,0,2026-08-13T19:12:37Z,0,Markdown,0,0,0.0
ohmyzsh/ohmyzsh,189158,2009-08-28T18:15:37Z,16.96,3650,0,2026-08-13T18:57:59Z,0,Shell,4926,5077,0.9703
microsoft/vscode,188665,2015-09-03T20:23:38Z,10.94,51853,233,2026-08-13T19:04:12Z,0,TypeScript,233321,250707,0.9307
massgravel/Microsoft-Activation-Scripts,186927,2020-01-12T23:03:34Z,6.58,7,31,2026-08-13T19:10:25Z,0,Batchfile,1065,1069,0.9963
Significant-Gravitas/AutoGPT,186590,2023-03-16T09:21:07Z,3.41,4748,117,2026-08-13T18:40:33Z,0,Python,3638,3939,0.9236
jackfrued/Python-100-Days,185177,2018-03-01T16:05:52Z,8.45,13,0,2026-08-13T17:55:39Z,0,Jupyter Notebook,192,729,0.2634
CyC2018/CS-Notes,185039,2018-02-13T14:56:24Z,8.5,374,0,2026-08-13T17:08:50Z,0,N/A,449,579,0.7755
getify/You-Dont-Know-JS,184655,2013-11-16T02:37:24Z,12.74,370,0,2026-08-13T18:12:54Z,0,N/A,947,947,1.0
yt-dlp/yt-dlp,184272,2020-10-26T04:22:55Z,5.8,3387,135,2026-08-13T19:04:17Z,0,Python,9920,11898,0.8338
avelino/awesome-go,180973,2014-07-06T13:42:15Z,12.1,3864,0,2026-08-13T19:10:03Z,0,Go,736,757,0.9723
ollama/ollama,178461,2023-06-26T19:39:32Z,3.13,3514,241,2026-08-13T19:04:20Z,0,Go,8570,10950,0.7826
flutter/flutter,178382,2015-03-06T22:54:58Z,11.44,49538,7,2026-08-13T18:54:07Z,0,Dart,102584,115141,0.8909
github/gitignore,175281,2010-11-08T20:17:14Z,15.76,1779,0,2026-08-13T19:03:58Z,0,N/A,0,0,0.0
twbs/bootstrap,174578,2011-07-29T21:19:00Z,15.04,9481,94,2026-08-13T18:44:17Z,0,MDX,22838,22940,0.9956
microsoft/markitdown,173558,2024-11-13T19:56:40Z,1.74,183,20,2026-08-13T19:07:34Z,0,Python,181,564,0.3209
521xueweihan/HelloGitHub,170732,2016-05-04T06:24:11Z,10.28,17,68,2026-08-13T19:12:31Z,0,Python,2708,3296,0.8216
anthropics/skills,168916,2025-09-22T15:53:31Z,0.89,47,0,2026-08-13T19:11:00Z,0,Python,48,362,0.1326
f/prompts.chat,167088,2022-12-05T13:54:13Z,3.69,237,0,2026-08-13T18:25:30Z,0,HTML,152,172,0.8837
firecrawl/firecrawl,166892,2024-04-15T21:02:29Z,2.32,1921,35,2026-08-13T19:13:06Z,0,TypeScript,885,949,0.9326
AUTOMATIC1111/stable-diffusion-webui,164509,2022-08-22T14:05:26Z,3.98,1875,27,2026-08-13T17:34:51Z,0,Python,5491,7913,0.6939
huggingface/transformers,164073,2018-10-29T13:56:00Z,7.79,20150,268,2026-08-13T18:41:43Z,0,Python,18409,19304,0.9536
jlevy/the-art-of-command-line,162103,2015-05-20T15:11:03Z,11.23,317,0,2026-08-13T17:46:01Z,0,N/A,138,264,0.5227
Snailclimb/JavaGuide,157768,2018-05-07T13:27:00Z,8.27,1268,0,2026-08-13T17:08:21Z,0,JavaScript,1098,1155,0.9506
langflow-ai/langflow,153189,2023-02-08T22:28:03Z,3.51,7231,303,2026-08-13T18:58:38Z,0,Python,3202,3416,0.9374
langgenius/dify,152355,2023-04-12T07:40:24Z,3.34,13276,168,2026-08-13T18:55:46Z,0,TypeScript,18322,18611,0.9845
open-webui/open-webui,148700,2023-10-06T22:08:27Z,2.85,4027,167,2026-08-13T18:57:33Z,0,Python,9142,9338,0.979
airbnb/javascript,148148,2012-11-01T23:13:50Z,13.78,822,0,2026-08-13T17:12:23Z,0,JavaScript,1315,1416,0.9287
Genymobile/scrcpy,147573,2017-11-21T18:00:27Z,8.73,153,52,2026-08-13T19:03:34Z,0,C,3356,6144,0.5462
msitarzewski/agency-agents,145119,2025-10-13T12:12:29Z,0.83,222,0,2026-08-13T19:11:42Z,0,Shell,87,143,0.6084
langchain-ai/langchain,144175,2022-10-17T02:58:36Z,3.82,17231,1000,2026-08-13T19:06:29Z,0,Python,9633,9960,0.9672
x1xhlol/system-prompts-and-models-of-ai-tools,142807,2025-03-05T16:38:29Z,1.44,52,0,2026-08-13T17:56:46Z,0,N/A,120,211,0.5687
yangshun/tech-interview-handbook,141846,2016-07-05T05:00:48Z,10.11,494,0,2026-08-13T19:00:00Z,0,TypeScript,92,126,0.7302
vercel/next.js,141767,2016-10-05T23:32:51Z,9.85,28143,1000,2026-08-13T19:08:45Z,0,JavaScript,23034,25155,0.9157
anthropics/claude-code,141344,2025-02-22T17:41:21Z,1.47,161,187,2026-08-13T18:41:19Z,0,Python,68453,83763,0.8172
ytdl-org/youtube-dl,140957,2010-10-31T14:35:07Z,15.78,1646,341,2026-08-13T15:18:07Z,0,Python,23204,26831,0.8648
microsoft/PowerToys,137737,2019-05-01T17:44:02Z,7.29,6981,138,2026-08-13T18:16:53Z,0,C,33721,41056,0.8213
clash-verge-rev/clash-verge-rev,137605,2023-11-21T18:24:03Z,2.73,1006,67,2026-08-13T18:03:21Z,0,TypeScript,5390,5786,0.9316
iptv-org/iptv,135760,2018-11-14T22:00:57Z,7.74,6984,0,2026-08-13T18:00:02Z,0,TypeScript,34181,34231,0.9985
golang/go,135745,2014-08-19T04:33:40Z,11.98,1,0,2026-08-13T18:49:33Z,0,Go,63106,72818,0.8666
labuladong/fucking-algorithm,135332,2020-02-19T09:01:23Z,6.48,244,0,2026-08-13T18:06:29Z,0,Markdown,975,979,0.9959
Shubhamsaboo/awesome-llm-apps,132478,2024-04-29T05:30:25Z,2.29,240,0,2026-08-13T19:10:28Z,0,Python,167,172,0.9709
ripienaar/free-for-dev,131679,2015-03-18T21:06:26Z,11.4,3075,0,2026-08-13T18:38:53Z,0,HTML,0,0,0.0
excalidraw/excalidraw,129534,2020-01-02T01:04:43Z,6.61,3959,15,2026-08-13T18:43:38Z,0,TypeScript,2648,4908,0.5395
krahets/hello-algo,129403,2022-11-04T11:08:34Z,3.77,994,10,2026-08-13T18:38:23Z,0,Java,278,291,0.9553
Chalarangelo/30-seconds-of-code,128708,2017-11-29T17:35:03Z,8.7,855,12,2026-08-13T17:12:25Z,0,JavaScript,300,300,1.0
garrytan/gstack,127839,2026-03-11T21:22:45Z,0.42,298,0,2026-08-13T19:08:02Z,0,TypeScript,337,748,0.4505
Comfy-Org/ComfyUI,127318,2023-01-17T03:15:56Z,3.57,3133,152,2026-08-13T19:09:10Z,0,Python,5025,9096,0.5524
github/spec-kit,127244,2025-08-21T22:54:31Z,0.97,1363,211,2026-08-13T19:13:22Z,0,Python,1335,1490,0.896
farion1231/cc-switch,127000,2025-08-04T14:16:16Z,1.02,440,50,2026-08-13T18:31:39Z,0,Rust,3156,4590,0.6876
react/react-native,126339,2015-01-09T18:10:16Z,11.59,999,471,2026-08-13T18:54:08Z,0,C++,27093,27774,0.9755
kubernetes/kubernetes,124488,2014-06-06T22:56:04Z,12.18,65645,810,2026-08-13T18:30:02Z,0,Go,47699,49518,0.9633
ggml-org/llama.cpp,123806,2023-03-10T18:58:00Z,3.43,9668,1000,2026-08-13T18:41:08Z,0,C++,8703,9408,0.9251
electron/electron,122491,2013-04-12T01:47:36Z,13.34,26497,1000,2026-08-13T19:12:17Z,0,C++,21132,21816,0.9686
shadcn-ui/ui,121264,2023-01-04T12:43:27Z,3.61,1434,117,2026-08-13T19:11:56Z,0,TypeScript,3169,4230,0.7492
rustdesk/rustdesk,120343,2020-09-28T15:36:08Z,5.87,4198,39,2026-08-13T18:40:21Z,0,Rust,4220,4298,0.9819
nodejs/node,118918,2014-11-26T19:57:11Z,11.71,13155,512,2026-08-13T18:46:02Z,0,JavaScript,20051,20754,0.9661
justjavac/free-programming-books-zh_CN,118317,2013-11-04T01:59:19Z,12.77,300,3,2026-08-13T17:46:56Z,0,N/A,0,0,0.0
Hack-with-Github/Awesome-Hacking,118214,2016-03-30T15:47:10Z,10.37,41,0,2026-08-13T18:47:19Z,0,N/A,0,0,0.0
microsoft/generative-ai-for-beginners,117683,2023-06-19T16:28:59Z,3.15,601,0,2026-08-13T18:45:17Z,0,Jupyter Notebook,244,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,116413,2025-11-30T11:36:31Z,0.7,138,41,2026-08-13T19:07:10Z,0,Python,134,172,0.7791
godotengine/godot,115668,2014-01-04T16:05:36Z,12.61,43320,71,2026-08-13T19:06:11Z,0,C++,49922,63298,0.7887
rust-lang/rust,115494,2010-06-16T20:39:03Z,16.16,73425,153,2026-08-13T18:05:02Z,0,Rust,52076,63497,0.8201
mrdoob/three.js,114497,2010-03-23T18:58:01Z,16.39,15961,177,2026-08-13T17:23:25Z,0,JavaScript,13481,13727,0.9821
2dust/v2rayN,113760,2019-07-30T03:47:24Z,7.04,593,332,2026-08-13T18:41:53Z,0,C#,7093,7120,0.9962
d3/d3,113448,2010-09-27T17:22:42Z,15.88,495,194,2026-08-13T16:33:24Z,0,Shell,2242,2247,0.9978
jaywcjlove/awesome-mac,110915,2016-07-17T15:33:47Z,10.07,1239,15,2026-08-13T19:07:38Z,0,Swift,403,559,0.7209
immich-app/immich,110414,2022-02-03T15:56:27Z,4.52,9987,305,2026-08-13T19:09:26Z,0,TypeScript,8643,9115,0.9482
tauri-apps/tauri,110186,2019-07-13T09:09:37Z,7.09,5662,0,2026-08-13T17:22:31Z,0,Rust,5130,6413,0.7999
microsoft/TypeScript,110169,2014-06-17T15:28:39Z,12.16,14893,217,2026-08-13T18:56:46Z,0,TypeScript,38192,43246,0.8831
axios/axios,109232,2014-08-18T22:30:27Z,11.98,1482,123,2026-08-13T18:25:51Z,0,JavaScript,5008,5054,0.9909
browser-use/browser-use,109111,2024-10-31T16:00:56Z,1.78,1890,134,2026-08-13T18:52:54Z,0,Python,1504,1601,0.9394
