repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
codecrafters-io/build-your-own-x,539416,2018-05-09T12:03:18Z,8.26,157,0,2026-08-13T19:09:48Z,0,Markdown,677,944,0.7172
sindresorhus/awesome,495334,2014-07-11T13:42:37Z,12.09,700,0,2026-08-13T19:11:30Z,0,N/A,352,368,0.9565
public-apis/public-apis,455922,2016-03-20T23:49:42Z,10.4,2119,0,2026-08-13T19:10:31Z,0,Python,911,921,0.9891
freeCodeCamp/freeCodeCamp,453955,2014-12-24T17:49:19Z,11.64,29086,0,2026-08-13T18:25:06Z,0,TypeScript,21885,22059,0.9921
EbookFoundation/free-programming-books,394334,2013-10-11T06:50:37Z,12.84,7417,0,2026-08-13T18:47:12Z,0,Python,1254,1292,0.9706
openclaw/openclaw,386186,2025-11-24T10:16:47Z,0.72,24560,233,2026-08-13T18:41:18Z,0,TypeScript,43526,46916,0.9277
nilbuild/developer-roadmap,364344,2017-03-15T13:45:52Z,9.41,4390,1,2026-08-13T18:51:34Z,0,TypeScript,3183,3184,0.9997
donnemartin/system-design-primer,363630,2017-02-26T16:15:28Z,9.46,210,0,2026-08-13T19:11:26Z,0,Python,127,399,0.3183
jwasham/coding-interview-university,358640,2016-06-06T02:34:12Z,10.18,415,0,2026-08-13T19:00:05Z,0,N/A,455,536,0.8489
vinta/awesome-python,313778,2014-06-27T21:00:06Z,12.13,738,0,2026-08-13T19:06:12Z,0,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,312421,2015-06-01T02:33:17Z,11.2,0,1,2026-08-13T19:06:12Z,0,N/A,0,0,0.0
practical-tutorials/project-based-learning,279039,2017-04-12T05:07:46Z,9.34,194,0,2026-08-13T19:06:37Z,0,Python,88,239,0.3682
996icu/996.ICU,276626,2019-03-26T07:31:14Z,7.38,1071,0,2026-08-13T17:41:52Z,0,N/A,0,0,0.0
obra/superpowers,271672,2025-10-09T19:45:18Z,0.84,167,12,2026-08-13T19:09:56Z,0,Shell,693,843,0.8221
react/react,247232,2013-05-24T16:15:54Z,13.22,13033,132,2026-08-13T18:50:06Z,0,JavaScript,13799,14612,0.9444
torvalds/linux,242753,2011-09-04T22:48:12Z,14.94,0,0,2026-08-13T19:02:24Z,0,C,0,0,0.0
affaan-m/ECC,239936,2026-01-18T00:51:51Z,0.57,990,15,2026-08-13T19:10:29Z,0,JavaScript,663,703,0.9431
trimstray/the-book-of-secret-knowledge,238177,2018-06-23T10:43:14Z,8.14,122,0,2026-08-13T19:06:13Z,0,N/A,0,0,0.0
NousResearch/hermes-agent,230044,2025-07-22T22:22:28Z,1.06,10511,24,2026-08-13T19:11:52Z,0,Python,10679,21313,0.5011
TheAlgorithms/Python,223726,2016-07-16T09:44:01Z,10.08,3088,0,2026-08-13T18:04:39Z,0,Python,1606,1749,0.9182
mattpocock/skills,216235,2026-02-03T11:15:53Z,0.52,86,7,2026-08-13T19:12:27Z,0,Shell,300,625,0.48
vuejs/vue,210232,2013-07-29T03:24:51Z,13.04,1136,249,2026-08-13T18:34:43Z,0,TypeScript,9670,10035,0.9636
ossu/computer-science,207959,2014-05-04T00:18:39Z,12.28,315,0,2026-08-13T18:57:59Z,0,HTML,658,674,0.9763
multica-ai/andrej-karpathy-skills,202131,2026-01-27T03:53:13Z,0.54,12,0,2026-08-13T19:10:28Z,0,N/A,0,0,0.0
n8n-io/n8n,200516,2019-06-22T09:24:21Z,7.14,19906,760,2026-08-13T19:08:05Z,0,TypeScript,9646,9985,0.966
anomalyco/opencode,197038,2025-04-30T20:08:00Z,1.28,7094,860,2026-08-13T19:13:01Z,0,TypeScript,19649,23561,0.834
tensorflow/tensorflow,197004,2015-11-07T01:19:20Z,10.77,48862,222,2026-08-13T18:26:26Z,0,C++,40897,41678,0.9813
trekhleb/javascript-algorithms,196462,2018-03-24T07:47:04Z,8.39,309,0,2026-08-13T17:48:46Z,0,JavaScript,238,373,0.6381
ultraworkers/claw-code,195072,2026-03-31T08:58:08Z,0.37,141,0,2026-08-13T18:14:43Z,0,Rust,2195,2211,0.9928
