repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
chinese-poetry/chinese-poetry,53145,2016-09-02T03:32:25Z,9.95,138,1,2026-08-17T16:22:29Z,0,JavaScript,92,217,0.424
vsouza/awesome-ios,53089,2014-07-10T16:03:45Z,12.1,2256,0,2026-08-17T20:45:42Z,0,Swift,494,497,0.994
agalwood/Motrix,53020,2018-12-18T11:45:05Z,7.66,226,28,2026-08-17T21:57:03Z,0,TypeScript,605,1377,0.4394
ggml-org/whisper.cpp,52969,2022-09-25T18:26:37Z,3.89,1022,38,2026-08-17T21:39:16Z,0,C++,895,1963,0.4559
aaif-goose/goose,52915,2024-08-23T19:03:36Z,1.98,5866,146,2026-08-17T21:57:33Z,0,Rust,2607,2763,0.9435
dockur/windows,52879,2024-01-14T13:09:40Z,2.59,901,126,2026-08-17T20:58:09Z,0,Shell,1014,1030,0.9845
sickcodes/Docker-OSX,52866,2020-06-04T11:01:37Z,6.2,109,0,2026-08-17T18:34:08Z,0,Shell,289,686,0.4213
lyswhut/lx-music-desktop,52826,2019-08-14T14:31:08Z,7.01,101,113,2026-08-17T21:37:27Z,0,TypeScript,1307,2527,0.5172
microsoft/VibeVoice,52822,2025-08-25T13:24:01Z,0.98,41,0,2026-08-17T20:40:38Z,0,Python,118,242,0.4876
ionic-team/ionic-framework,52621,2013-08-20T23:06:02Z,12.99,6783,948,2026-08-17T21:50:55Z,0,TypeScript,21604,22190,0.9736
jesseduffield/lazydocker,52515,2019-05-18T08:53:50Z,7.25,195,47,2026-08-17T21:54:51Z,0,Go,216,413,0.523
hesreallyhim/awesome-claude-code,52495,2025-04-19T20:55:59Z,1.33,221,0,2026-08-17T22:03:11Z,0,Python,1133,2007,0.5645
lllyasviel/Fooocus,52353,2023-08-09T18:43:40Z,3.02,448,21,2026-08-17T22:04:42Z,0,Python,1421,1668,0.8519
prettier/prettier,52204,2016-11-29T17:13:37Z,9.71,10222,144,2026-08-17T20:58:37Z,0,JavaScript,6158,7324,0.8408
xai-org/grok-1,52151,2024-03-17T08:53:38Z,2.42,5,0,2026-08-17T18:52:58Z,0,Python,0,0,0.0
etcd-io/etcd,52123,2013-07-06T21:57:21Z,13.11,10614,292,2026-08-17T13:57:24Z,0,Go,7130,7246,0.984
VoltAgent/awesome-openclaw-skills,52000,2026-01-25T09:22:32Z,0.56,149,0,2026-08-17T22:03:25Z,0,N/A,84,84,1.0
bmad-code-org/BMAD-METHOD,51995,2025-04-13T14:54:25Z,1.34,840,39,2026-08-17T21:53:46Z,0,JavaScript,975,1075,0.907
google/guava,51884,2014-05-29T16:23:17Z,12.22,1437,59,2026-08-17T21:53:19Z,0,Java,3050,3667,0.8317
anthropics/claude-cookbooks,51734,2023-08-15T20:23:51Z,3.01,198,0,2026-08-17T22:02:35Z,0,Jupyter Notebook,138,215,0.6419
dkhamsing/open-source-ios-apps,51720,2015-01-26T23:32:34Z,11.55,1711,37,2026-08-17T21:28:14Z,0,N/A,357,357,1.0
run-llama/llama_index,51705,2022-11-02T04:24:54Z,3.79,7942,432,2026-08-17T19:28:34Z,0,Python,7077,7248,0.9764
expo/expo,51654,2016-08-15T17:14:25Z,10.0,23795,0,2026-08-17T21:03:27Z,0,TypeScript,18976,19266,0.9849
Avik-Jain/100-Days-Of-ML-Code,51649,2018-07-05T09:11:43Z,8.12,6,0,2026-08-17T16:21:55Z,0,N/A,0,0,0.0
jekyll/jekyll,51632,2008-10-20T06:29:03Z,17.82,3205,112,2026-08-17T13:46:24Z,0,Ruby,4809,4939,0.9737
dbeaver/dbeaver,51459,2015-10-21T08:26:28Z,10.82,7340,254,2026-08-17T21:41:22Z,0,Java,17276,20500,0.8427
charlax/professional-programming,51427,2015-11-07T05:07:52Z,10.78,44,0,2026-08-17T19:57:09Z,0,Python,32,33,0.9697
poteto/hiring-without-whiteboards,51379,2017-03-15T05:09:01Z,9.42,1335,0,2026-08-17T19:32:06Z,0,JavaScript,0,0,0.0
DefinitelyTyped/DefinitelyTyped,51375,2012-10-05T16:39:45Z,13.86,53485,1,2026-08-17T20:29:10Z,0,TypeScript,7560,8118,0.9313
ethereum/go-ethereum,51288,2013-12-26T13:05:46Z,12.64,9276,232,2026-08-17T15:29:00Z,0,Go,8520,8716,0.9775
justjavac/wechat-miniapp-radar,51182,2016-09-22T20:04:48Z,9.9,313,0,2026-08-17T12:24:37Z,0,TypeScript,35,35,1.0
Semantic-Org/Semantic-UI,51027,2013-04-08T23:32:04Z,13.36,356,154,2026-08-17T19:10:20Z,0,JavaScript,5269,6233,0.8453
cypress-io/cypress,50978,2015-03-04T00:46:28Z,11.46,8848,401,2026-08-17T21:53:59Z,0,TypeScript,14545,15560,0.9348
CherryHQ/cherry-studio,50661,2024-05-24T01:56:26Z,2.23,4845,276,2026-08-17T21:52:21Z,0,TypeScript,10203,11084,0.9205
jamiepine/voicebox,50659,2026-01-25T12:27:03Z,0.56,147,25,2026-08-17T20:37:11Z,0,TypeScript,191,682,0.2801
nlohmann/json,50390,2013-07-04T08:47:49Z,13.12,1155,45,2026-08-17T20:45:42Z,0,C++,2373,2408,0.9855
bannedbook/fanqiang,50377,2015-01-14T00:34:25Z,11.59,3,3,2026-08-17T18:40:53Z,0,Kotlin,502,836,0.6005
mastodon/mastodon,50218,2016-02-22T15:01:25Z,10.48,20629,360,2026-08-17T16:29:30Z,0,Ruby,8778,13097,0.6702
TanStack/query,50150,2019-09-10T19:23:58Z,6.93,3800,1000,2026-08-17T21:42:29Z,0,TypeScript,2269,2347,0.9668
skylot/jadx,50103,2013-03-18T17:08:21Z,13.42,652,35,2026-08-17T18:58:08Z,0,Java,1690,2118,0.7979
serhii-londar/open-source-mac-os-apps,50057,2017-11-03T02:35:33Z,8.79,615,0,2026-08-17T21:50:11Z,0,N/A,211,234,0.9017
jgthms/bulma,50055,2016-01-23T23:48:34Z,10.56,646,22,2026-08-17T13:15:57Z,0,CSS,2403,2752,0.8732
