repositorio,estrelas,data_criacao,idade_anos,total_prs_aceitas,total_releases,ultima_atualizacao,dias_desde_atualizacao,linguagem_primaria,issues_fechadas,issues_total,razao_issues_fechadas
zhayujie/CowAgent,46533,2022-08-07T08:33:41Z,4.03,408,80,2026-08-17T20:58:05Z,0,Python,2174,2193,0.9913
apache/airflow,46514,2015-04-13T18:04:58Z,11.35,39641,126,2026-08-17T21:57:39Z,0,Python,13915,15015,0.9267
kepano/obsidian-skills,46500,2026-01-02T21:45:11Z,0.62,16,0,2026-08-17T22:02:10Z,0,N/A,20,46,0.4348
SimplifyJobs/Summer2027-Internships,46493,2020-05-23T20:53:18Z,6.23,1675,0,2026-08-17T22:01:29Z,0,Python,7562,7658,0.9875
multica-ai/multica,46488,2026-01-13T17:59:46Z,0.59,3109,140,2026-08-17T22:05:11Z,0,Go,1352,2149,0.6291
usebruno/bruno,46381,2022-09-27T20:51:45Z,3.89,2652,171,2026-08-17T22:03:21Z,0,JavaScript,3079,4366,0.7052
LeCoupa/awesome-cheatsheets,46367,2017-11-09T02:47:15Z,8.77,175,0,2026-08-17T20:27:24Z,0,JavaScript,61,102,0.598
9001/copyparty,46251,2019-05-26T15:28:33Z,7.23,211,345,2026-08-17T19:01:18Z,0,Python,783,1000,0.783
docker/awesome-compose,46115,2020-02-13T08:51:42Z,6.51,153,0,2026-08-17T18:47:45Z,0,HTML,47,152,0.3092
ziishaned/learn-regex,46079,2017-07-22T12:21:03Z,9.07,132,0,2026-08-17T18:11:01Z,0,N/A,36,87,0.4138
RocketChat/Rocket.Chat,45997,2015-05-19T07:36:09Z,11.25,16864,1000,2026-08-17T21:48:18Z,0,TypeScript,14617,17105,0.8545
iina/iina,45986,2016-12-19T07:18:45Z,9.66,1011,51,2026-08-17T21:49:37Z,0,Swift,2665,4494,0.593
coqui-ai/TTS,45908,2020-05-20T15:45:28Z,6.24,467,98,2026-08-17T19:16:14Z,0,Python,1240,1242,0.9984
jgm/pandoc,45905,2010-03-20T20:34:23Z,16.41,1800,158,2026-08-17T21:58:01Z,0,Haskell,7362,8335,0.8833
cli/cli,45865,2019-10-03T15:24:53Z,6.87,3140,200,2026-08-17T22:05:42Z,0,Go,5306,6314,0.8404
helix-editor/helix,45852,2020-06-01T04:26:56Z,6.21,4875,30,2026-08-17T21:38:23Z,0,Rust,4853,5940,0.817
siyuan-note/siyuan,45849,2020-08-30T09:21:35Z,5.96,951,943,2026-08-17T20:39:08Z,0,TypeScript,17456,17523,0.9962
android/architecture-samples,45789,2016-02-05T13:42:07Z,10.53,233,0,2026-08-17T17:59:21Z,0,Kotlin,350,497,0.7042
DIYgod/RSSHub,45772,2018-04-02T14:43:21Z,8.38,13169,0,2026-08-17T21:33:27Z,0,TypeScript,6098,6412,0.951
zhongyang219/TrafficMonitor,45754,2017-07-30T02:51:17Z,9.05,79,27,2026-08-17T16:34:24Z,0,C++,741,2068,0.3583
Alishahryar1/free-claude-code,45711,2026-01-28T19:02:30Z,0.55,307,0,2026-08-17T21:59:38Z,0,Python,478,720,0.6639
DavidHDev/react-bits,45691,2024-08-06T06:54:54Z,2.03,214,0,2026-08-17T19:21:24Z,0,JavaScript,524,526,0.9962
google/zx,45668,2021-05-05T05:50:01Z,5.28,617,100,2026-08-17T06:16:48Z,0,JavaScript,501,521,0.9616
milvus-io/milvus,45666,2019-09-16T06:43:43Z,6.92,26900,170,2026-08-17T17:55:25Z,0,Go,15696,16622,0.9443
karanpratapsingh/system-design,45611,2022-08-15T18:59:54Z,4.01,14,0,2026-08-17T20:06:46Z,0,N/A,21,24,0.875
streamlit/streamlit,45557,2019-08-24T00:14:52Z,6.98,8329,125,2026-08-17T20:44:56Z,0,Python,5058,6040,0.8374
ColorlibHQ/AdminLTE,45557,2013-12-25T02:52:40Z,12.64,1583,87,2026-08-17T18:12:56Z,0,Astro,2923,2925,0.9993
Leaflet/Leaflet,45485,2010-09-22T16:57:44Z,15.9,3327,34,2026-08-17T16:30:47Z,0,JavaScript,4963,5363,0.9254
abhigyanpatwari/GitNexus,45480,2025-08-02T23:20:31Z,1.04,1247,0,2026-08-17T21:47:20Z,0,TypeScript,895,1155,0.7749
jestjs/jest,45468,2013-12-10T00:18:04Z,12.68,5951,217,2026-08-17T20:13:13Z,0,TypeScript,8075,8215,0.983
QuantumNous/new-api,45384,2023-11-10T19:33:36Z,2.77,1278,511,2026-08-17T21:04:42Z,0,Go,2614,3327,0.7857
isocpp/CppCoreGuidelines,45249,2015-08-19T20:22:52Z,11.0,830,4,2026-08-17T18:25:12Z,0,CSS,1000,1237,0.8084
grpc/grpc,45226,2014-12-08T18:58:53Z,11.69,20855,375,2026-08-17T19:48:26Z,0,C++,11350,12016,0.9446
sickn33/agentic-awesome-skills,45066,2026-01-14T17:48:09Z,0.59,771,187,2026-08-17T21:53:35Z,0,Python,162,162,1.0
GitSquared/edex-ui,45044,2017-01-28T09:35:02Z,9.55,399,29,2026-08-17T18:19:00Z,0,JavaScript,553,559,0.9893
pyenv/pyenv,45023,2012-08-31T06:57:52Z,13.96,1113,165,2026-08-17T18:40:57Z,0,Shell,1856,1908,0.9727
fastapi/full-stack-fastapi-template,44912,2019-02-23T15:08:34Z,7.48,727,15,2026-08-17T21:15:44Z,0,TypeScript,441,441,1.0
MHSanaei/3x-ui,44825,2023-02-09T19:16:57Z,3.52,1031,124,2026-08-17T20:57:21Z,0,Go,4144,4241,0.9771
react-hook-form/react-hook-form,44818,2019-03-05T23:47:10Z,7.45,2313,618,2026-08-17T20:11:25Z,0,TypeScript,5000,5001,0.9998
meteor/meteor,44812,2012-01-19T01:58:17Z,14.58,2927,0,2026-08-17T18:58:30Z,0,JavaScript,9111,9329,0.9766
sudheerj/reactjs-interview-questions,44734,2018-05-31T17:17:01Z,8.21,170,0,2026-08-17T20:31:31Z,0,JavaScript,110,113,0.9735
mitmproxy/mitmproxy,44722,2010-02-16T04:10:13Z,16.5,2830,81,2026-08-17T21:40:38Z,0,Python,3318,3691,0.8989
vercel/hyper,44692,2016-07-01T06:01:21Z,10.13,3292,88,2026-08-17T20:13:37Z,0,TypeScript,2882,3826,0.7533
DataTalksClub/data-engineering-zoomcamp,44682,2021-10-21T09:32:50Z,4.82,462,0,2026-08-17T19:43:07Z,0,Jupyter Notebook,146,146,1.0
files-community/Files,44651,2019-01-04T18:19:14Z,7.62,5759,140,2026-08-17T20:59:14Z,0,C#,10898,11344,0.9607
coreyhaines31/marketingskills,44634,2026-01-15T19:45:23Z,0.59,187,39,2026-08-17T21:44:49Z,0,JavaScript,132,169,0.7811
vnpy/vnpy,44571,2015-03-02T03:36:58Z,11.46,1077,67,2026-08-17T20:50:30Z,0,Python,2171,2187,0.9927
getsentry/sentry,44563,2010-08-30T22:06:41Z,15.96,91111,176,2026-08-17T21:55:11Z,0,Python,15475,17247,0.8973
logseq/logseq,44490,2020-05-23T00:06:06Z,6.23,3391,153,2026-08-17T20:53:55Z,0,Clojure,7349,8217,0.8944
spf13/cobra,44455,2013-09-03T20:40:26Z,12.95,631,27,2026-08-17T17:48:58Z,0,Go,1001,1255,0.7976
charmbracelet/bubbletea,44414,2020-01-10T21:04:03Z,6.6,706,79,2026-08-17T19:59:35Z,0,Go,334,443,0.754
NaiboWang/EasySpider,44365,2020-07-18T02:41:27Z,6.08,46,10,2026-08-17T11:14:12Z,0,JavaScript,497,766,0.6488
paperless-ngx/paperless-ngx,44348,2022-02-12T21:56:52Z,4.51,3544,156,2026-08-17T20:13:02Z,0,Python,2634,2635,0.9996
AykutSarac/jsoncrack.com,44291,2022-01-30T15:25:18Z,4.54,91,23,2026-08-17T19:33:56Z,0,TypeScript,260,289,0.8997
payloadcms/payload,44224,2021-01-05T18:49:45Z,5.61,7702,574,2026-08-17T19:40:28Z,0,TypeScript,4328,4742,0.9127
sharkdp/fd,44114,2017-05-09T21:27:10Z,9.27,775,44,2026-08-17T21:40:33Z,0,Rust,854,983,0.8688
janhq/jan,44031,2023-08-17T02:17:10Z,3.0,3801,104,2026-08-17T21:52:21Z,0,TypeScript,3417,3780,0.904
parcel-bundler/parcel,44021,2017-08-07T16:36:47Z,9.03,2600,52,2026-08-17T20:13:13Z,0,JavaScript,5079,5538,0.9171
streamich/react-use,44016,2018-10-27T10:16:05Z,7.81,1534,257,2026-08-17T21:01:50Z,0,TypeScript,247,614,0.4023
Kong/kong,43991,2014-11-17T23:56:08Z,11.75,6532,147,2026-08-17T20:30:51Z,0,Lua,4537,4614,0.9833
yangshun/front-end-interview-handbook,43989,2018-01-13T19:40:08Z,8.59,356,0,2026-08-17T16:18:03Z,0,JavaScript,92,103,0.8932
babel/babel,43985,2014-09-28T13:38:23Z,11.89,6739,468,2026-08-17T12:06:43Z,0,TypeScript,8519,9111,0.935
zen-browser/desktop,43953,2024-03-28T00:05:55Z,2.39,1215,185,2026-08-17T21:37:36Z,0,JavaScript,9106,9672,0.9415
lysine-dev/retrofit,43931,2010-09-06T21:39:43Z,15.95,1352,4,2026-08-17T20:27:06Z,0,Java,2645,2774,0.9535
astaxie/build-web-application-with-golang,43901,2012-08-02T11:49:35Z,14.04,757,0,2026-08-17T07:07:12Z,0,Go,182,306,0.5948
apache/spark,43826,2014-02-25T08:00:08Z,12.47,8,0,2026-08-17T20:47:37Z,0,Scala,58,97,0.5979
DataExpert-io/data-engineer-handbook,43760,2023-11-19T19:47:41Z,2.74,181,0,2026-08-17T21:13:29Z,0,Jupyter Notebook,82,107,0.7664
aymericdamien/TensorFlow-Examples,43732,2015-11-11T14:21:19Z,10.77,88,0,2026-08-17T10:04:25Z,0,Jupyter Notebook,71,239,0.2971
ccxt/ccxt,43657,2017-05-14T15:41:56Z,9.26,15568,248,2026-08-17T20:37:30Z,0,Python,11308,11527,0.981
ray-project/ray,43537,2016-10-25T19:38:30Z,9.81,32136,128,2026-08-17T18:44:35Z,0,Python,20086,22957,0.8749
juspay/hyperswitch,43502,2022-10-17T11:18:28Z,3.83,7562,158,2026-08-17T18:53:33Z,0,Rust,2841,4172,0.681
colinhacks/zod,43476,2020-03-07T20:59:08Z,6.44,1134,205,2026-08-17T20:07:47Z,0,TypeScript,3081,3151,0.9778
danielmiessler/Fabric,43468,2024-01-03T23:18:31Z,2.62,646,423,2026-08-17T18:27:27Z,0,Go,829,859,0.9651
gradio-app/gradio,43376,2018-12-19T08:24:04Z,7.66,5723,1000,2026-08-17T21:57:59Z,0,Python,6548,6714,0.9753
Light-City/CPlusPlusThings,43354,2019-07-14T08:45:45Z,7.09,78,0,2026-08-17T14:50:16Z,0,C++,223,231,0.9654
ziglang/zig,43316,2015-08-06T00:51:28Z,11.03,9540,21,2026-08-17T19:43:57Z,0,Zig,10788,13522,0.7978
alex/what-happens-when,43291,2013-11-07T04:30:06Z,12.77,108,0,2026-08-17T02:07:42Z,0,N/A,54,300,0.18
Unitech/pm2,43269,2013-05-21T03:25:25Z,13.24,558,138,2026-08-17T01:43:56Z,0,JavaScript,4128,5147,0.802
HeyPuter/puter,43086,2024-03-03T01:44:32Z,2.46,2016,22,2026-08-17T22:04:05Z,0,TypeScript,1214,1223,0.9926
zbezj/HEU_KMS_Activator,43068,2019-06-23T00:49:35Z,7.15,0,54,2026-08-17T18:44:54Z,0,N/A,32,205,0.1561
FuelLabs/fuels-rs,43067,2021-10-31T22:33:54Z,4.79,915,121,2026-08-17T00:22:57Z,0,Rust,613,663,0.9246
FuelLabs/fuels-ts,43029,2021-09-03T18:11:03Z,4.95,1979,156,2026-08-17T20:15:13Z,0,TypeScript,1400,1457,0.9609
mifi/lossless-cut,43002,2016-10-30T10:49:56Z,9.8,266,106,2026-08-17T20:34:45Z,0,TypeScript,1639,1920,0.8536
deepspeedai/DeepSpeed,42950,2020-01-23T18:35:18Z,6.57,3168,115,2026-08-17T21:55:12Z,0,Python,2201,3367,0.6537
juanfont/headscale,42945,2020-06-21T09:21:05Z,6.15,1349,140,2026-08-17T20:28:27Z,0,Go,1254,1338,0.9372
faif/python-patterns,42927,2012-06-06T21:02:35Z,14.2,293,0,2026-08-17T20:07:22Z,0,Python,88,97,0.9072
Imbad0202/academic-research-skills,42809,2026-02-26T06:31:01Z,0.47,400,39,2026-08-17T22:01:32Z,0,Python,283,308,0.9188
curl/curl,42612,2010-03-18T22:32:22Z,16.41,211,97,2026-08-17T21:39:18Z,0,C,5543,5548,0.9991
k88hudson/git-flight-rules,42596,2014-07-22T20:35:09Z,12.07,227,0,2026-08-17T18:21:45Z,0,N/A,59,73,0.8082
mingrammer/diagrams,42520,2020-02-02T15:23:24Z,6.54,360,46,2026-08-17T14:47:24Z,0,Python,231,546,0.4231
apachecn/ailearning,42459,2017-02-25T08:53:02Z,9.47,478,2,2026-08-17T09:10:52Z,0,Python,114,118,0.9661
Alamofire/Alamofire,42417,2014-07-31T05:56:19Z,12.05,674,106,2026-08-17T18:21:11Z,0,Swift,2788,2819,0.989
danny-avila/LibreChat,42153,2023-02-12T01:06:52Z,3.51,4105,94,2026-08-17T22:06:18Z,0,TypeScript,4514,4865,0.9279
imputnet/cobalt,42120,2022-07-08T18:12:55Z,4.11,252,0,2026-08-17T22:00:33Z,0,Svelte,804,1031,0.7798
saadeghi/daisyui,42106,2020-11-28T22:57:27Z,5.71,604,226,2026-08-17T21:22:37Z,0,JavaScript,2184,2198,0.9936
666ghj/BettaFish,42012,2024-07-01T13:11:38Z,2.13,119,6,2026-08-17T20:47:11Z,0,Python,441,442,0.9977
fastlane/fastlane,41997,2014-12-02T17:00:38Z,11.71,6482,568,2026-08-17T20:43:49Z,0,Ruby,12786,13304,0.9611
LC044/WeChatMsg,41968,2023-01-11T05:03:49Z,3.6,62,0,2026-08-17T20:42:33Z,0,N/A,0,0,0.0
nolimits4web/swiper,41880,2012-03-14T19:11:45Z,14.43,629,103,2026-08-17T11:03:12Z,0,TypeScript,5592,5830,0.9592
psf/black,41804,2018-03-14T19:54:45Z,8.43,1884,55,2026-08-17T19:55:44Z,0,Python,2551,2818,0.9053
hexojs/hexo,41770,2012-09-23T15:17:08Z,13.9,1000,118,2026-08-17T14:19:58Z,0,TypeScript,3955,4001,0.9885
agno-agi/agno,41746,2022-05-04T15:23:02Z,4.29,3620,231,2026-08-17T21:26:39Z,0,Python,2129,2753,0.7733
aria2/aria2,41734,2010-11-27T09:41:48Z,15.72,258,24,2026-08-17T19:47:41Z,0,C++,829,1925,0.4306
dylanaraps/pure-bash-bible,41717,2018-06-13T01:39:33Z,8.18,28,0,2026-08-17T03:13:33Z,0,Shell,33,77,0.4286
freefq/free,41700,2020-06-07T02:48:33Z,6.19,0,0,2026-08-17T20:01:13Z,0,N/A,292,891,0.3277
chubin/cheat.sh,41655,2017-05-07T21:40:56Z,9.28,129,0,2026-08-17T22:03:07Z,0,Python,139,273,0.5092
dcloudio/uni-app,41598,2018-07-12T08:52:39Z,8.1,582,0,2026-08-17T15:24:36Z,0,JavaScript,4410,5099,0.8649
apache/dubbo,41549,2012-06-19T07:56:02Z,14.16,6133,114,2026-08-17T15:51:37Z,0,Java,6590,7424,0.8877
yarnpkg/yarn,41489,2016-01-19T17:39:16Z,10.58,1655,153,2026-08-17T20:13:53Z,0,JavaScript,4755,6624,0.7178
tabler/tabler,41465,2018-02-01T09:08:59Z,8.54,946,51,2026-08-17T18:26:49Z,0,Astro,1165,1221,0.9541
chatboxai/chatbox,41456,2023-03-06T12:22:15Z,3.45,81,60,2026-08-17T22:03:23Z,0,TypeScript,1541,2692,0.5724
hpcaitech/ColossalAI,41437,2021-10-28T16:19:44Z,4.8,3708,50,2026-08-17T08:45:00Z,0,Python,1297,1740,0.7454
sxyazi/yazi,41432,2023-07-08T11:45:55Z,3.11,1274,32,2026-08-17T22:03:56Z,0,Rust,1898,1950,0.9733
heygen-com/hyperframes,41383,2026-03-10T01:51:06Z,0.44,2122,349,2026-08-17T22:02:30Z,0,TypeScript,246,278,0.8849
exelban/stats,41247,2019-05-29T19:24:56Z,7.22,455,348,2026-08-17T18:00:13Z,0,Swift,2899,2922,0.9921
nwjs/nw.js,41163,2012-01-04T06:21:10Z,14.62,576,0,2026-08-17T18:28:42Z,0,JavaScript,6567,7456,0.8808
styled-components/styled-components,41120,2016-08-16T06:41:32Z,10.0,1067,239,2026-08-17T20:13:45Z,0,TypeScript,2998,3009,0.9963
XTLS/Xray-core,41084,2020-11-09T11:23:10Z,5.77,1422,119,2026-08-17T18:19:19Z,0,Go,3061,3094,0.9893
luongnv89/claude-howto,41081,2025-11-07T22:59:34Z,0.77,66,10,2026-08-17T20:05:05Z,0,Python,27,43,0.6279
vuetifyjs/vuetify,41031,2016-09-12T00:39:35Z,9.93,4803,672,2026-08-17T17:12:10Z,0,TypeScript,15141,15438,0.9808
bailicangdu/vue2-elm,41026,2016-12-23T01:49:20Z,9.65,21,0,2026-08-17T13:32:21Z,0,Vue,512,631,0.8114
zai-org/ChatGLM-6B,40989,2023-03-13T12:00:18Z,3.43,47,0,2026-08-17T15:51:48Z,0,Python,750,1316,0.5699
gkd-kit/gkd,40947,2023-07-04T03:59:15Z,3.12,16,75,2026-08-17T19:57:04Z,0,Kotlin,783,794,0.9861
goabstract/Awesome-Design-Tools,40908,2019-02-12T13:55:30Z,7.51,283,0,2026-08-17T17:47:51Z,0,JavaScript,26,53,0.4906
QSCTech/zju-icicles,40851,2016-06-28T16:17:32Z,10.14,232,0,2026-08-17T18:33:48Z,0,HTML,69,78,0.8846
amruthpillai/reactive-resume,40827,2020-03-25T14:08:22Z,6.4,929,136,2026-08-17T22:06:11Z,0,TypeScript,2049,2146,0.9548
Hmbown/CodeWhale,40826,2026-01-19T18:21:01Z,0.57,1733,132,2026-08-17T19:47:57Z,0,Rust,2348,2489,0.9434
vercel-labs/agent-browser,40798,2026-01-11T05:38:15Z,0.6,580,102,2026-08-17T21:40:17Z,0,Rust,244,575,0.4243
facebookresearch/faiss,40754,2017-02-07T16:07:05Z,9.52,137,28,2026-08-17T19:50:54Z,0,C++,2564,2779,0.9226
vim/vim,40752,2015-08-18T21:03:56Z,11.0,440,0,2026-08-17T21:43:03Z,0,Vim Script,8151,9722,0.8384
ashishps1/awesome-system-design-resources,40713,2023-10-25T01:50:42Z,2.81,3,0,2026-08-17T21:30:50Z,0,Java,27,35,0.7714
appsmithorg/appsmith,40683,2020-06-30T04:07:36Z,6.13,14324,308,2026-08-17T21:42:29Z,0,TypeScript,19322,23747,0.8137
remoteintech/remote-jobs,40663,2015-10-13T03:49:25Z,10.84,1454,0,2026-08-17T20:34:43Z,0,JavaScript,200,204,0.9804
bradtraversy/50projects50days,40611,2020-11-16T14:39:01Z,5.75,44,0,2026-08-17T10:59:44Z,0,CSS,0,0,0.0
PatrickJS/awesome-cursorrules,40605,2024-09-16T15:38:38Z,1.92,101,0,2026-08-17T19:53:45Z,0,JavaScript,58,65,0.8923
GyulyVGC/sniffnet,40585,2022-07-31T21:55:56Z,4.05,547,18,2026-08-17T21:40:57Z,0,Rust,312,368,0.8478
chakra-ui/chakra-ui,40579,2019-08-17T14:27:54Z,7.0,3017,1000,2026-08-17T18:54:13Z,0,TypeScript,4351,4355,0.9991
trpc/trpc,40525,2020-07-18T01:17:11Z,6.08,3924,239,2026-08-17T18:21:54Z,0,TypeScript,1210,1364,0.8871
chatanywhere/GPT_API_free,40521,2023-04-23T12:42:08Z,3.32,1,0,2026-08-17T19:22:39Z,0,N/A,438,439,0.9977
pingcap/tidb,40441,2015-09-06T04:01:52Z,10.95,36049,215,2026-08-17T19:15:11Z,0,Go,18676,23863,0.7826
ToolJet/ToolJet,40389,2021-03-30T08:51:34Z,5.38,9055,593,2026-08-17T21:25:16Z,0,JavaScript,4733,5283,0.8959
wg/wrk,40387,2012-03-20T11:12:28Z,14.41,0,0,2026-08-17T09:48:12Z,0,C,0,0,0.0
duckdb/duckdb,40318,2018-06-26T15:04:45Z,8.14,11620,63,2026-08-17T21:56:01Z,0,C++,6857,7437,0.922
php/php-src,40290,2011-06-16T01:52:25Z,15.17,5533,60,2026-08-17T20:47:30Z,0,C,4400,5355,0.8217
nushell/nushell,40279,2019-05-10T16:59:42Z,7.27,9111,124,2026-08-17T19:08:30Z,0,Rust,5902,7283,0.8104
LizardByte/Sunshine,40263,2021-12-15T23:38:57Z,4.67,2115,46,2026-08-17T21:57:42Z,0,C++,1258,1353,0.9298
CorentinTh/it-tools,40261,2020-04-05T11:50:24Z,6.37,493,10,2026-08-17T21:04:53Z,0,Vue,225,712,0.316
ManimCommunity/manim,40222,2020-05-19T02:37:13Z,6.25,2129,34,2026-08-17T19:28:46Z,0,Python,1405,1805,0.7784
outline/outline,40218,2016-05-22T21:31:47Z,10.24,5236,166,2026-08-17T21:25:09Z,0,TypeScript,4195,4226,0.9927
phaserjs/phaser,40162,2013-04-12T12:27:51Z,13.35,1746,178,2026-08-17T21:38:06Z,0,JavaScript,4543,4650,0.977
microsoft/BitNet,40096,2024-08-05T09:07:38Z,2.03,34,0,2026-08-17T19:49:52Z,0,C++,103,306,0.3366
photoprism/photoprism,40079,2018-01-27T12:00:15Z,8.55,959,83,2026-08-17T17:29:19Z,0,Go,2207,2640,0.836
gofiber/fiber,40062,2020-01-16T03:59:20Z,6.58,2419,142,2026-08-17T20:34:16Z,0,Go,1701,1738,0.9787
google-research/bert,40049,2018-10-25T22:57:34Z,7.81,32,0,2026-08-17T19:12:28Z,0,Python,355,1145,0.31
evanw/esbuild,40010,2016-06-14T16:08:50Z,10.17,263,315,2026-08-17T06:06:37Z,0,Go,3375,3918,0.8614
Kong/insomnia,39954,2016-04-23T03:54:26Z,10.32,4217,561,2026-08-17T21:29:44Z,0,TypeScript,3297,4034,0.8173
go-gorm/gorm,39908,2013-10-25T08:31:38Z,12.81,790,12,2026-08-17T09:47:03Z,0,Go,5691,6144,0.9263
koalaman/shellcheck,39887,2012-11-17T03:15:11Z,13.75,346,30,2026-08-17T19:52:41Z,0,Haskell,1901,3014,0.6307
siddharthvaddem/openscreen,39876,2025-10-10T05:36:55Z,0.85,195,13,2026-08-17T21:01:42Z,0,TypeScript,337,366,0.9208
langchain-ai/langgraph,39874,2023-08-09T18:33:12Z,3.02,3908,559,2026-08-17T21:51:42Z,0,Python,1052,1506,0.6985
videojs/video.js,39863,2010-05-14T18:45:10Z,16.26,1829,336,2026-08-17T15:40:21Z,0,JavaScript,4819,5436,0.8865
schollz/croc,39858,2017-10-17T15:20:18Z,8.83,365,205,2026-08-17T21:40:35Z,0,Go,610,615,0.9919
llvm/llvm-project,39800,2016-12-07T09:39:33Z,9.69,96775,159,2026-08-17T21:54:56Z,0,LLVM,68606,97845,0.7012
2noise/ChatTTS,39768,2024-05-27T18:26:49Z,2.22,223,7,2026-08-17T21:45:28Z,0,Python,619,676,0.9157
vadimdemedes/ink,39677,2017-06-12T06:12:28Z,9.18,323,81,2026-08-17T21:31:01Z,0,TypeScript,416,432,0.963
mindsdb/mindshub,39597,2018-08-02T17:56:45Z,8.04,5923,339,2026-08-17T20:54:33Z,0,Makefile,4435,4436,0.9998
novuhq/novu,39596,2021-08-26T15:22:44Z,4.97,8421,144,2026-08-17T21:21:46Z,0,TypeScript,1686,1740,0.969
floodsung/Deep-Learning-Papers-Reading-Roadmap,39545,2016-10-14T11:49:48Z,9.84,28,0,2026-08-17T16:06:30Z,0,Python,5,58,0.0862
qbittorrent/qBittorrent,39522,2012-02-04T09:37:46Z,14.53,4409,4,2026-08-17T21:11:55Z,0,C++,15093,17660,0.8546
lm-sys/FastChat,39514,2023-03-19T00:18:02Z,3.41,852,14,2026-08-17T09:26:05Z,0,Python,1077,1972,0.5461
google/styleguide,39509,2015-05-20T19:18:59Z,11.24,201,0,2026-08-17T15:03:26Z,0,HTML,250,369,0.6775
halo-dev/halo,39490,2018-03-21T12:56:52Z,8.41,3225,269,2026-08-17T14:26:10Z,0,Java,4596,4706,0.9766
QuivrHQ/quivr,39401,2023-05-12T23:53:30Z,3.26,1824,354,2026-08-17T13:01:17Z,0,Python,1538,1551,0.9916
TeamNewPipe/NewPipe,39380,2015-09-03T23:39:26Z,10.95,1885,147,2026-08-17T20:35:32Z,0,Java,8991,10379,0.8663
pola-rs/polars,39377,2020-05-13T19:45:33Z,6.26,13656,265,2026-08-17T21:41:05Z,0,Rust,10605,13121,0.8082
google/leveldb,39332,2014-08-27T21:17:52Z,11.97,65,21,2026-08-17T17:14:30Z,0,C++,542,799,0.6783
freeCodeCamp/devdocs,39299,2013-10-24T18:16:07Z,12.81,1018,0,2026-08-17T20:52:19Z,0,Ruby,1102,1283,0.8589
AstrBotDevs/AstrBot,39294,2022-12-08T13:27:46Z,3.69,1709,250,2026-08-17T17:11:18Z,0,Python,5417,6450,0.8398
DeusData/codebase-memory-mcp,39263,2026-02-24T22:01:00Z,0.48,490,44,2026-08-17T22:06:30Z,0,C,435,797,0.5458
suno-ai/bark,39239,2023-04-07T19:34:48Z,3.36,19,0,2026-08-17T20:24:08Z,0,Jupyter Notebook,240,478,0.5021
ShareX/ShareX,39182,2013-10-08T23:32:10Z,12.85,0,90,2026-08-17T21:26:11Z,0,C#,6871,7528,0.9127
drawdb-io/drawdb,39125,2023-07-16T17:09:20Z,3.09,439,0,2026-08-17T21:54:15Z,0,JavaScript,236,368,0.6413
google/googletest,38937,2015-07-28T15:07:53Z,11.06,833,12,2026-08-17T17:38:16Z,0,C++,2072,2395,0.8651
HKUDS/LightRAG,38931,2024-10-02T11:57:54Z,1.87,1553,81,2026-08-17T21:20:26Z,0,Python,1329,1523,0.8726
wshobson/agents,38871,2025-07-24T23:28:14Z,1.06,161,0,2026-08-17T21:14:07Z,0,Python,106,113,0.9381
mattermost/mattermost,38830,2015-06-15T06:50:02Z,11.17,22293,1000,2026-08-17T20:17:37Z,0,TypeScript,8749,9338,0.9369
deepseek-ai/awesome-deepseek-integration,38825,2024-01-11T02:43:17Z,2.6,288,0,2026-08-17T19:37:51Z,0,N/A,163,200,0.815
rapid7/metasploit-framework,38823,2011-08-30T06:13:20Z,14.97,12049,0,2026-08-17T19:58:28Z,0,Ruby,6088,6585,0.9245
preactjs/preact,38822,2015-09-11T02:40:18Z,10.93,2084,251,2026-08-17T20:13:42Z,0,JavaScript,1922,1941,0.9902
Dogfalo/materialize,38817,2014-09-12T19:35:38Z,11.93,449,41,2026-08-17T20:42:36Z,0,JavaScript,4598,5221,0.8807
RSSNext/Folo,38816,2024-04-08T03:23:35Z,2.36,1517,113,2026-08-17T17:12:06Z,0,TypeScript,2260,2638,0.8567
datalab-to/marker,38811,2023-10-30T20:14:08Z,2.8,233,72,2026-08-17T22:00:24Z,0,Python,324,689,0.4702
aseprite/aseprite,38793,2014-08-19T23:44:50Z,11.99,548,130,2026-08-17T21:53:36Z,0,C++,2721,4652,0.5849
spacedriveapp/spacedrive,38780,2021-09-27T05:09:04Z,4.89,1968,28,2026-08-17T21:11:37Z,0,Rust,522,549,0.9508
YunaiV/ruoyi-vue-pro,38767,2021-01-24T03:18:25Z,5.56,78,66,2026-08-17T17:51:53Z,0,Java,793,800,0.9912
DioxusLabs/dioxus,38763,2021-01-15T01:57:26Z,5.59,2081,42,2026-08-17T19:50:43Z,0,Rust,1979,2617,0.7562
lapce/lapce,38743,2018-02-06T08:41:06Z,8.53,1184,35,2026-08-17T21:23:52Z,0,Rust,1210,2034,0.5949
ajeetdsouza/zoxide,38690,2020-03-05T13:11:40Z,6.45,262,38,2026-08-17T19:05:14Z,0,Rust,650,749,0.8678
ant-design/ant-design-pro,38675,2017-08-25T10:40:44Z,8.98,1181,34,2026-08-17T10:56:15Z,0,TypeScript,9800,9842,0.9957
naptha/tesseract.js,38635,2015-06-24T02:49:52Z,11.15,205,57,2026-08-17T21:47:24Z,0,JavaScript,707,738,0.958
