repositorio,estrelas,linguagem_primaria
codecrafters-io/build-your-own-x,538976,Markdown
sindresorhus/awesome,494812,N/A
public-apis/public-apis,455596,Python
freeCodeCamp/freeCodeCamp,453880,TypeScript
EbookFoundation/free-programming-books,394216,Python
openclaw/openclaw,386040,TypeScript
nilbuild/developer-roadmap,364217,TypeScript
donnemartin/system-design-primer,363368,Python
jwasham/coding-interview-university,358471,N/A
vinta/awesome-python,313532,Python
